NbPlanets = 6

Name = Legent Toron
Size = 1.2
IdTexturePlanet = 5
IdTextureClouds = 1
Alignment = 0
PositionX = 13000
PositionY = 21000
ColorTexturePlanet = 0xffffffff
ColorTextureClouds = 0x80aaffff
ColorTextureShadows = 0xdcffffff
ColorTextureLights = 0xff00ffff

Name = Lulis Makerre
Size = 0.9
IdTexturePlanet = 2
IdTextureClouds = 1
Alignment = 0
PositionX = -15000
PositionY = 9000
ColorTexturePlanet = 0xffffffff
ColorTextureClouds = 0x80ffaaff
ColorTextureShadows = 0xdcffffff
ColorTextureLights = 0xffa096ff

Name = Nabka Tunhrn
Size = 1.9
IdTexturePlanet = 35
IdTextureClouds = 1
Alignment = 0
PositionX = 2000
PositionY = 4000
ColorTexturePlanet = 0xffffffff
ColorTextureClouds = 0x80ffffff
ColorTextureShadows = 0xdcffffff
ColorTextureLights = 0xff0096ff

Name = Ardkin Talran
Size = 1.3
IdTexturePlanet = 12
IdTextureClouds = 1
Alignment = 0
PositionX = -15000
PositionY = -17000
ColorTexturePlanet = 0xffffffff
ColorTextureClouds = 0x80ffffaa
ColorTextureShadows = 0xdcffffff
ColorTextureLights = 0xffff96ff

Name = Werax Darkwol
Size = 0.9
IdTexturePlanet = 17
IdTextureClouds = 1
Alignment = 0
PositionX = 4000
PositionY = -20000
ColorTexturePlanet = 0xffffffff
ColorTextureClouds = 0x80ff3cff
ColorTextureShadows = 0xdcffffff
ColorTextureLights = 0xff96ffaa

Name = Cedan Helria
Size = 1.7
IdTexturePlanet = 19
IdTextureClouds = 1
Alignment = 0
PositionX = 16000
PositionY = -4000
ColorTexturePlanet = 0xffffffff
ColorTextureClouds = 0x803cff88
ColorTextureShadows = 0xdcffffff
ColorTextureLights = 0xffff1000

NbSpeedWays = 14

IdPlanet1 = 0
IdPlanet2 = 2

IdPlanet1 = 2
IdPlanet2 = 0

IdPlanet1 = 1
IdPlanet2 = 2

IdPlanet1 = 2
IdPlanet2 = 1

IdPlanet1 = 1
IdPlanet2 = 3

IdPlanet1 = 3
IdPlanet2 = 1

IdPlanet1 = 3
IdPlanet2 = 4

IdPlanet1 = 4
IdPlanet2 = 3

IdPlanet1 = 2
IdPlanet2 = 4

IdPlanet1 = 4
IdPlanet2 = 2

IdPlanet1 = 4
IdPlanet2 = 5

IdPlanet1 = 5
IdPlanet2 = 4

IdPlanet1 = 2
IdPlanet2 = 5

IdPlanet1 = 5
IdPlanet2 = 2

